Rank in 2020,Rank in 2019,Institution Name,Country,Classification,,,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,Overall Score
551-560,591-600,"University of Missouri, Columbia",United States,L,FC,VH,5,A,16.7,491,-,-,39.5,391,-,-,34.5,430,-,-,21.5 - 21.7
551-560,561-570,University of Pretoria,South Africa,XL,FC,HI,5,A,22.1,381,41,232,-,-,21.7,532,58.3,303,-,-,21.5 - 21.7
561-570,561-570,Aristotle University of Thessaloniki,Greece,XL,FC,VH,4,A,24.9,334,27.3,343,-,-,33.8,395,-,-,17.5,565,21.1 - 21.4
561-570,501-510,Drexel University,United States,L,FC,VH,5,B,-,-,-,-,39.6,389,30.5,433,23.7,512,31.8,413,21.1 - 21.4
561-570,  481=,Kazakh National Pedagogical University Abai,Kazakhstan,M,CO,MD,4,A,-,-,-,-,74.4,168,-,-,41.5,386,-,-,21.1 - 21.4
561-570,  464=,Kazakh National Technical University after K.I.Satpayev,Kazakhstan,M,FO,HI,4,A,-,-,20.8,443,69.3,197,-,-,-,-,-,-,21.1 - 21.4
561-570,531-540,New School University,United States,M,FO,HI,5,B,-,-,-,-,57.5,257,-,-,-,-,96.3,69,21.1 - 21.4
561-570,511-520,Okayama University,Japan,L,FC,HI,5,A,-,-,-,-,69.6,194,-,-,-,-,-,-,21.1 - 21.4
561-570,581-590,Universidad Anahuac,Mexico,L,CO,MD,4,B,-,-,36.2,265,64.9,219,-,-,-,-,-,-,21.1 - 21.4
561-570,541-550,UniversitÈ du QuÈbec,Canada,XL,FC,HI,4,A,23.3,360,19.2,479,-,-,29.4,441,46.3,348,15.9,586,21.1 - 21.4
561-570,  500=,UniversitÈ Saint-Joseph de Beyrouth,Lebanon,M,FC,MD,5,B,-,-,26.4,352,52.1,291,-,-,76.2,230,-,-,21.1 - 21.4
561-570,541-550,University of Cincinnati,United States,XL,FC,VH,5,A,-,-,-,-,35,447,30.9,430,-,-,14.7,599,21.1 - 21.4
561-570,551-560,University of Nebraska,United States,L,CO,VH,5,A,-,-,-,-,-,-,37.6,351,77.4,227,26.6,461,21.1 - 21.4
561-570,561-570,University of South Carolina at Columbia,United States,XL,FC,VH,5,A,16.7,492,19.3,477,-,-,31,426,44.8,359,-,-,21.1 - 21.4
571-580,571-580,Chonbuk National University,South Korea,L,FC,HI,4,A,-,-,-,-,58.6,250,18.3,583,-,-,-,-,20.8 - 21
571-580,571-580,Dalian University of Technology,China,XL,CO,VH,4,A,-,-,-,-,-,-,61.9,134,-,-,-,-,20.8 - 21
571-580,581-590,Konkuk University,South Korea,L,FC,HI,4,B,-,-,-,-,59.1,246,-,-,-,-,16.2,581,20.8 - 21
571-580,591-600,Murdoch University,Australia,L,CO,HI,3,A,-,-,-,-,-,-,36.4,371,81.5,211,44.1,323,20.8 - 21
571-580,581-590,University of Guelph,Canada,L,CO,VH,4,A,-,-,23,406,-,-,40.2,326,47,346,-,-,20.8 - 21
571-580,581-590,"University of Massachusetts, Boston",United States,L,CO,VH,5,A,-,-,-,-,-,-,43.1,298,-,-,28.2,449,20.8 - 21
571-580,  495=,University of Oklahoma,United States,L,FC,VH,5,A,-,-,-,-,41.3,372,26.5,465,28,475,-,-,20.8 - 21
571-580,531-540,University of Vermont,United States,M,FC,VH,5,A,-,-,-,-,68.2,201,22.1,523,-,-,-,-,20.8 - 21
581-590,501-510,Howard University,United States,M,FC,HI,5,B,-,-,-,-,77.2,160,-,-,-,-,-,-,20.6 - 20.7
581-590,561-570,Kanazawa University,Japan,M,FC,VH,4,A,-,-,-,-,63.3,227,-,-,-,-,-,-,20.6 - 20.7
581-590,601-650,Lebanese American University,Lebanon,M,FC,MD,4,B,-,-,27.7,338,30.1,507,-,-,95.6,128,49.6,291,20.6 - 20.7
581-590,551-560,Syracuse University,United States,L,CO,VH,5,B,-,-,22,422,-,-,26.3,469,-,-,58.6,240,20.6 - 20.7
581-590,581-590,Universit‡ degli Studi di Pavia (UNIPV),Italy,L,FC,VH,5,A,21.3,387,-,-,-,-,44.8,280,-,-,-,-,20.6 - 20.7
581-590,561-570,Universitat de Valencia,Spain,XL,FC,VH,5,A,27.6,307,-,-,-,-,23.2,505,-,-,-,-,20.6 - 20.7
581-590,601-650,UniversitÈ de Fribourg,Switzerland,L,FO,VH,,,-,-,-,-,-,-,32,418,100,59,51.2,282,20.6 - 20.7
581-590,591-600,University of Balamand,Lebanon,S,CO,HI,3,B,-,-,-,-,85.3,110,-,-,-,-,-,-,20.6 - 20.7
591-600,591-600,"Kingston University, London",United Kingdom,L,CO,HI,3,A,-,-,-,-,-,-,-,-,77,228,95.7,76,20.3 - 20.5
591-600,601-650,Lingnan University (Hong Kong),Hong Kong,S,SP,HI,5,A,-,-,-,-,28.4,533,18.5,577,100,31,51.2,283,20.3 - 20.5
591-600,551-560,Middle East Technical University,Turkey,L,CO,VH,4,A,23.9,350,46.5,192,-,-,19.3,563,-,-,-,-,20.3 - 20.5
591-600,601-650,Universidad Nacional de La Plata,Argentina,XL,FC,HI,5,A,31,268,-,-,27,552,-,-,-,-,-,-,20.3 - 20.5
591-600,541-550,Universitat Ramon Llull,Spain,L,CO,MD,3,B,-,-,46.5,193,-,-,-,-,95.8,125,41.9,332,20.3 - 20.5
591-600,601-650,Universiti Utara Malaysia (UUM),Malaysia,L,SP,VH,3,A,-,-,-,-,36.3,430,-,-,28.5,474,75,163,20.3 - 20.5
591-600,651-700,University of Ljubljana,Slovenia,XL,FC,VH,5,A,18.2,457,-,-,44.9,335,-,-,-,-,-,-,20.3 - 20.5
591-600,601-650,University of Milano-Bicocca,Italy,XL,CO,VH,2,A,17.7,473,-,-,-,-,55.8,175,,-,-,-,20.3 - 20.5
591-600,591-600,University of Mons,Belgium,M,CO,VH,2,B,-,-,-,-,-,-,62.6,130,30.4,457,34.8,391,20.3 - 20.5
591-600,581-590,Vilnius Gediminas Technical University,Lithuania,M,SP,HI,4,A,-,-,26.4,353,42.3,363,-,-,-,-,36.1,378,20.3 - 20.5
591-600,,University of CÙte d'Azur,France,XL,,,1,,-,-,-,-,-,-,29.8,434,66.2,264,68.2,192,20.3 - 20.4
601-650,651-700,Ajou University,South Korea,M,FC,VH,3,B,-,-,-,-,53.1,283,21.2,537,-,-,-,-,18.5 - 20.2
601-650,541-550,American University,United States,L,CO,HI,5,B,-,-,20.9,442,32.4,467,-,-,-,-,25.6,475,18.5 - 20.2
601-650,561-570,American University in Dubai,United Arab Emirates,S,FO,MD,2,B,-,-,24.9,381,-,-,-,-,100,1,100,3,18.5 - 20.2
601-650,651-700,Ateneo de Manila University,Philippines,M,FC,MD,5,B,18.4,453,30.7,313,35.1,446,-,-,-,-,-,-,18.5 - 20.2
601-650,701-750,Bogor Agricultural University,Indonesia,L,CO,HI,4,A,17.6,475,-,-,36.9,423,-,-,45.8,353,-,-,18.5 - 20.2
601-650,601-650,Central Queensland University,Australia,M,CO,HI,3,A,-,-,-,-,-,-,-,-,96,123,97.2,61,18.5 - 20.2
601-650,651-700,Chiang Mai University,Thailand,XL,FC,HI,4,A,29.8,286,22.4,416,-,-,-,-,-,-,-,-,18.5 - 20.2
601-650,601-650,City University of New York,United States,XL,CO,VH,5,A,29.7,287,-,-,-,-,-,-,-,-,-,-,18.5 - 20.2
601-650,601-650,Clarkson University,United States,S,CO,VH,5,B,-,-,-,-,26.7,558,52.2,203,26.5,490,-,-,18.5 - 20.2
601-650,581-590,College of William & Mary,United States,M,CO,VH,5,A,-,-,-,-,38.3,405,22.3,518,-,-,-,-,18.5 - 20.2
601-650,651-700,Gifu University,Japan,M,FC,HI,4,A,-,-,-,-,69.4,196,-,-,-,-,-,-,18.5 - 20.2
601-650,651-700,Holy Spirit University of Kaslik,Lebanon,M,FC,MD,4,A,-,-,-,-,45.2,331,-,-,98.8,85,36.8,373,18.5 - 20.2
601-650,581-590,Instituto TecnolÛgico de Buenos Aires (ITBA),Argentina,S,CO,MD,4,B,-,-,26.7,350,59.4,243,-,-,21.8,525,17.4,566,18.5 - 20.2
601-650,601-650,Iran University of Science and Technology,Iran,L,FO,VH,4,A,-,-,-,-,-,-,80.2,56,,-,-,-,18.5 - 20.2
601-650,601-650,Keele University,United Kingdom,M,FC,HI,4,A,-,-,-,-,30.1,506,24.2,490,58.2,304,41.7,335,18.5 - 20.2
601-650,651-700,Kyungpook National University,South Korea,L,FC,VH,4,A,-,-,-,-,41.5,369,-,-,-,-,-,-,18.5 - 20.2
601-650,601-650,Lobachevsky State University of Nizhni Novgorod,Russia,L,FO,VH,5,A,-,-,-,-,66.2,212,-,-,-,-,16.8,571,18.5 - 20.2
601-650,591-600,Michigan Technological University,United States,M,CO,VH,5,A,-,-,-,-,30.7,493,38.2,343,-,-,28.5,446,18.5 - 20.2
601-650,651-700,Niigata University,Japan,L,FC,HI,4,A,-,-,-,-,78.4,151,-,-,-,-,-,-,18.5 - 20.2
601-650,651-700,Palack˝ University in Olomouc,Czech Republic,L,CO,VH,5,A,-,-,-,-,40.4,380,-,-,36.4,419,20.6,522,18.5 - 20.2
601-650,601-650,Pontificia Universidade CatÛlica do Rio de Janeiro - PUC - Rio,Brazil,L,CO,HI,4,B,28.2,303,-,-,-,-,-,-,21.3,534,-,-,18.5 - 20.2
601-650,601-650,Sichuan University,China,XL,FC,VH,4,A,17.9,466,-,-,-,-,37.3,359,-,-,-,-,18.5 - 20.2
601-650,601-650,Smith College,United States,S,CO,HI,5,B,-,-,-,-,72,184,-,-,-,-,26.3,468,18.5 - 20.2
601-650,601-650,Tallinn University of Technology,Estonia,M,FO,VH,5,A,-,-,20.7,447,30.4,502,-,-,40.2,396,31.3,418,18.5 - 20.2
601-650,601-650,Thammasat University,Thailand,XL,FC,MD,4,A,23,362,34.3,279,29.6,513,-,-,18.8,561,-,-,18.5 - 20.2
601-650,651-700,Tokyo Metropolitan University,Japan,M,CO,VH,4,A,-,-,-,-,37.4,419,26.6,463,-,-,-,-,18.5 - 20.2
601-650,571-580,Tokyo University of Agriculture and Technology,Japan,M,FO,VH,4,A,-,-,-,-,-,-,51.4,215,-,-,-,-,18.5 - 20.2
601-650,601-650,Ulster University,United Kingdom,L,CO,HI,3,A,-,-,20,459,-,-,20,557,99.1,78,17.8,556,18.5 - 20.2
601-650,651-700,Universidad de ConcepciÛn,Chile,L,FC,HI,5,B,23.6,357,39.4,242,-,-,-,-,-,-,-,-,18.5 - 20.2
601-650,591-600,Universidad de Salamanca,Spain,L,FC,HI,5,A,23.7,356,-,-,-,-,-,-,-,-,27.7,455,18.5 - 20.2
601-650,591-600,Universidad de San AndrÈs,Argentina,S,SP,LO,3,B,-,-,29,325,56.6,262,-,-,-,-,-,-,18.5 - 20.2
601-650,601-650,Universidad de Sevilla,Spain,XL,FC,HI,5,A,30.6,272,-,-,-,-,-,-,-,-,-,-,18.5 - 20.2
601-650,751-800,Universidad Panamericana (UP),Mexico,L,FO,MD,4,B,-,-,29,326,58.7,249,-,-,16.9,590,-,-,18.5 - 20.2
601-650,651-700,Universidad Torcuato Di Tella,Argentina,S,SP,MD,3,B,-,-,34.1,281,25,578,-,-,31.3,450,50.6,286,18.5 - 20.2
601-650,601-650,Universit‰t Duisburg-Essen,Germany,XL,FC,VH,3,A,-,-,-,-,-,-,44.5,282,27.8,477,49.6,290,18.5 - 20.2
601-650,571-580,Universit‰t Regensburg,Germany,L,CO,VH,4,A,-,-,-,-,38.6,403,21.8,530,18,572,-,-,18.5 - 20.2
601-650,591-600,University of Bradford,United Kingdom,M,CO,VH,4,A,-,-,-,-,-,-,26.4,467,51.3,329,81.1,141,18.5 - 20.2
601-650,601-650,University of Debrecen,Hungary,L,FC,HI,5,A,-,-,-,-,32.1,471,-,-,-,-,74.5,167,18.5 - 20.2
601-650,591-600,University of Hyderabad,India,M,FC,HI,3,A,-,-,-,-,26.9,554,40.5,323,-,-,-,-,18.5 - 20.2
601-650,601-650,University of Jordan,Jordan,XL,FC,MD,4,A,23.4,359,34,283,-,-,-,-,26.9,487,35.1,386,18.5 - 20.2
601-650,551-560,University of Kentucky,United States,L,FC,VH,5,A,-,-,-,-,24.8,582,34.2,392,20.5,542,-,-,18.5 - 20.2
601-650,701-750,University of Klagenfurt,Austria,S,FO,VH,3,A,-,-,-,-,34.9,448,-,-,89.7,171,66.8,199,18.5 - 20.2
601-650,601-650,University of Manitoba,Canada,XL,FC,VH,5,A,-,-,-,-,46.2,320,-,-,,-,35.2,384,18.5 - 20.2
601-650,494,University of New Mexico,United States,L,FC,VH,5,A,-,-,-,-,-,-,40.8,320,-,-,-,-,18.5 - 20.2
601-650,581-590,University of Oregon,United States,L,CO,VH,5,A,17.2,480,-,-,-,-,27.7,451,-,-,24.4,485,18.5 - 20.2
601-650,601-650,University of Portsmouth,United Kingdom,L,CO,HI,3,A,-,-,18.5,492,-,-,-,-,76.8,229,75.4,160,18.5 - 20.2
601-650,521-530,University of South Florida,United States,XL,CO,VH,4,A,-,-,-,-,-,-,33.2,400,26.4,492,34.2,398,18.5 - 20.2
601-650,701-750,University of Tehran,Iran,XL,CO,VH,4,A,18.6,449,23.2,405,-,-,38.8,335,-,-,-,-,18.5 - 20.2
601-650,651-700,Victoria University,Australia,L,CO,HI,3,A,-,-,-,-,-,-,43.1,300,48.2,342,78.3,151,18.5 - 20.2
601-650,601-650,Virginia Commonwealth University,United States,L,FC,VH,5,A,-,-,-,-,51.3,295,18.7,571,-,-,-,-,18.5 - 20.2
601-650,601-650,Worcester Polytechnic Institute,United States,M,CO,VH,5,B,-,-,-,-,28.3,536,36.6,369,27.1,483,61.6,226,18.5 - 20.2
651-700,751-800,Airlangga University,Indonesia,L,FC,MD,4,A,20.6,401,23.7,393,33.3,458,-,-,-,-,-,-,16.7 - 18.4
651-700,571-580,BogaziÁi ‹niversitesi,Turkey,L,CO,HI,5,A,19,439,42,224,-,-,19.8,560,-,-,-,-,16.7 - 18.4
651-700,651-700,Brno University of Technology,Czech Republic,L,FO,VH,5,A,-,-,33.1,290,-,-,-,-,-,-,62.1,222,16.7 - 18.4
651-700,651-700,Carleton University,Canada,L,CO,VH,4,A,-,-,-,-,-,-,39.3,332,24.7,504,35.6,381,16.7 - 18.4
651-700,651-700,Charles Darwin University,Australia,M,CO,VH,2,A,-,-,-,-,-,-,33.5,397,50.2,337,94.5,85,16.7 - 18.4
651-700,651-700,China Agricultural University,China,L,FC,VH,5,A,-,-,-,-,28.5,526,36.3,373,-,-,-,-,16.7 - 18.4
651-700,751-800,Edith Cowan University (ECU),Australia,L,CO,HI,3,A,-,-,-,-,-,-,17.8,593,61.5,284,82.8,134,16.7 - 18.4
651-700,701-750,Eotvos Lorand University,Hungary,L,FO,VH,5,A,23.6,358,-,-,-,-,-,-,-,-,19.1,539,16.7 - 18.4
651-700,561-570,Indiana University-Purdue University Indianapolis,United States,L,,,,,-,-,-,-,53.9,275,-,-,-,-,-,-,16.7 - 18.4
651-700,651-700,Instituto PolitÈcnico Nacional (IPN),Mexico,XL,CO,VH,4,A,19.4,428,52.2,159,-,-,-,-,-,-,-,-,16.7 - 18.4
651-700,651-700,Instituto TecnolÛgico Autonomo de MÈxico (ITAM),Mexico,M,FO,HI,4,B,-,-,48.7,175,-,-,-,-,58.6,302,-,-,16.7 - 18.4
651-700,651-700,International Islamic University Malaysia (IIUM),Malaysia,L,FC,HI,3,A,16.9,486,-,-,-,-,-,-,29.7,460,69.5,185,16.7 - 18.4
651-700,651-700,Istanbul Technical University,Turkey,XL,FO,VH,5,A,18.1,460,36.7,261,-,-,-,-,-,-,-,-,16.7 - 18.4
651-700,601-650,Jadavpur University,India,M,CO,VH,5,A,-,-,-,-,-,-,43.4,293,,-,-,-,16.7 - 18.4
651-700,651-700,Jordan University of Science and Technology,Jordan,L,CO,HI,3,A,-,-,26.4,354,-,-,-,-,-,-,42.8,330,16.7 - 18.4
651-700,601-650,Kagoshima University,Japan,M,FC,HI,4,A,-,-,-,-,74.1,171,-,-,-,-,-,-,16.7 - 18.4
651-700,,Kaohsiung Medical University,Taiwan,M,FO,VH,4,,-,-,-,-,45.2,329,23.1,507,-,-,-,-,16.7 - 18.4
651-700,651-700,Kazakh National Agrarian University,Kazakhstan,M,SP,LO,4,A,-,-,-,-,50.4,301,-,-,27.5,478,-,-,16.7 - 18.4
651-700,551-560,Leibniz Universit‰t Hannover,Germany,L,CO,VH,5,A,19.6,425,-,-,-,-,21.7,531,31.5,448,34.4,396,16.7 - 18.4
651-700,651-700,Louisiana State University,United States,L,CO,VH,5,A,-,-,-,-,-,-,46.5,260,-,-,-,-,16.7 - 18.4
651-700,701-750,Missouri University of Science and Technology,United States,M,CO,VH,5,A,-,-,-,-,-,-,49.3,238,40.5,392,24.5,484,16.7 - 18.4
651-700,651-700,National and Kapodistrian University of Athens,Greece,XL,FC,VH,5,A,19.5,426,27.7,339,-,-,26.7,460,-,-,15.8,587,16.7 - 18.4
651-700,651-700,National Chung Hsing University,Taiwan,L,CO,VH,5,A,-,-,-,-,24,589,25.8,476,-,-,-,-,16.7 - 18.4
651-700,701-750,"National Technical University ""Kharkiv Polytechnic Institute""",Ukraine,L,FO,HI,5,A,-,-,-,-,66.4,210,-,-,-,-,-,-,16.7 - 18.4
651-700,601-650,Osaka Prefecture University,Japan,M,CO,VH,4,A,-,-,-,-,56.1,263,21.1,539,-,-,-,-,16.7 - 18.4
651-700,601-650,Philipps-Universit‰t Marburg,Germany,L,FC,HI,5,A,-,-,-,-,-,-,26.8,459,-,-,25.4,480,16.7 - 18.4
651-700,531-540,Pontificia Universidade CatÛlica de S„o Paulo (PUC-SP),Brazil,M,FC,MD,4,B,-,-,19.7,464,51.6,294,-,-,-,-,-,-,16.7 - 18.4
651-700,601-650,"Rutgers - The State University of New Jersey, Newark",United States,M,CO,HI,4,A,-,-,-,-,23.4,600,-,-,32.9,439,40.5,343,16.7 - 18.4
651-700,701-750,Samara National Research University (Samara University),Russia,M,FO,VH,4,A,-,-,-,-,71.9,185,-,-,-,-,17.9,554,16.7 - 18.4
651-700,651-700,Sejong University,South Korea,L,CO,HI,4,B,-,-,18.8,487,-,-,21.9,524,23.8,511,19.6,535,16.7 - 18.4
651-700,651-700,Stevens Institute of Technology,United States,M,CO,HI,5,B,-,-,-,-,-,-,32.5,412,46.8,347,96.1,73,16.7 - 18.4
651-700,651-700,Temple University,United States,XL,FC,HI,5,A,-,-,-,-,27.5,546,20.7,545,-,-,-,-,16.7 - 18.4
651-700,701-750,Universidad de Antioquia,Colombia,XL,FC,HI,5,A,25.4,326,43.4,214,-,-,-,-,-,-,-,-,16.7 - 18.4
651-700,601-650,Universidad del Pais Vasco,Spain,XL,,,,,-,-,-,-,44.7,338,-,-,,-,-,-,16.7 - 18.4
651-700,701-750,Universidad Iberoamericana (UIA),Mexico,L,FC,LO,4,B,17.2,478,46.8,190,-,-,-,-,-,-,-,-,16.7 - 18.4
651-700,581-590,Universidade de Santiago de Compostela,Spain,L,CO,VH,5,A,19.6,423,-,-,-,-,21.8,526,-,-,-,-,16.7 - 18.4
651-700,601-650,Universidade Federal de Minas Gerais,Brazil,XL,FC,VH,5,A,28,304,-,-,-,-,-,-,-,-,-,-,16.7 - 18.4
651-700,601-650,Universidade Federal do Rio Grande Do Sul,Brazil,XL,FC,VH,5,A,26.3,318,-,-,-,-,-,-,-,-,-,-,16.7 - 18.4
651-700,701-750,Universit‡ degli Studi di Genova,Italy,L,FC,VH,5,A,16.5,498,-,-,-,-,33.1,405,-,-,15.9,585,16.7 - 18.4
651-700,  495=,Universit‰t Hohenheim,Germany,M,,,,,-,-,-,-,-,-,42.5,305,-,-,34.4,395,16.7 - 18.4
651-700,601-650,UniversitÈ Claude Bernard Lyon 1,France,XL,FC,HI,5,A,20.5,402,-,-,-,-,23,509,-,-,18.1,551,16.7 - 18.4
651-700,651-700,UniversitÈ de Sherbrooke,Canada,L,FC,HI,4,A,-,-,-,-,28.5,530,18.6,573,61.8,282,-,-,16.7 - 18.4
651-700,751-800,Universiti Teknologi MARA (UiTM),Malaysia,XL,CO,VH,4,A,21,393,38,251,-,-,-,-,-,-,-,-,16.7 - 18.4
651-700,651-700,University of Denver,United States,M,CO,VH,5,B,-,-,-,-,50.4,300,20.4,549,-,-,-,-,16.7 - 18.4
651-700,651-700,University of Haifa,Israel,L,FO,VH,4,A,-,-,-,-,-,-,31.6,423,,-,,-,16.7 - 18.4
651-700,651-700,University of Houston,United States,XL,CO,VH,4,A,-,-,-,-,-,-,38.2,344,-,-,16,584,16.7 - 18.4
651-700,651-700,University of Minho,Portugal,L,,,,,-,-,-,-,31.4,480,-,-,21.9,522,-,-,16.7 - 18.4
651-700,701-750,University of PÈcs,Hungary,L,FC,HI,5,A,-,-,-,-,39.5,393,-,-,-,-,64.7,210,16.7 - 18.4
651-700,601-650,University of Plymouth,United Kingdom,L,FC,HI,5,A,-,-,-,-,-,-,29,445,52.8,324,32.4,410,16.7 - 18.4
651-700,651-700,University of Seoul,South Korea,M,CO,VH,5,A,-,-,-,-,38.9,399,-,-,-,-,-,-,16.7 - 18.4
651-700,651-700,University of Sharjah,United Arab Emirates,L,CO,HI,2,B,-,-,-,-,-,-,-,-,100,5,100,12,16.7 - 18.4
651-700,601-650,University of Westminster,United Kingdom,L,CO,HI,,,-,-,-,-,-,-,-,-,82.6,205,100,24,16.7 - 18.4
651-700,651-700,University of Windsor,Canada,L,CO,HI,5,A,-,-,-,-,-,-,62.3,131,,-,46.6,305,16.7 - 18.4
651-700,701-750,Zayed University,United Arab Emirates,M,CO,HI,2,A,-,-,-,-,30.6,498,-,-,100,7,-,-,16.7 - 18.4
701-750,701-750,Abu Dhabi University,United Arab Emirates,S,FO,HI,2,C,-,-,-,-,-,-,-,-,100,2,100,10,15.2 - 16.6
701-750,751-800,Beijing Jiaotong University,China,L,CO,VH,5,A,-,-,-,-,23.8,592,21.9,525,-,-,14.7,597,15.2 - 16.6
701-750,751-800,Beijing University of Technology,China,L,CO,VH,4,A,-,-,-,-,40.9,375,18.6,575,-,-,-,-,15.2 - 16.6
701-750,701-750,Bournemouth University,United Kingdom,L,CO,HI,3,A,-,-,-,-,-,-,18.2,586,79.3,221,46.5,308,15.2 - 16.6
701-750,  801-1000,Central South University,China,XL,FC,VH,2,A,-,-,-,-,-,-,49.8,232,19.1,559,-,-,15.2 - 16.6
701-750,651-700,Chonnam National University,South Korea,L,FC,VH,4,A,-,-,-,-,35.9,434,22.6,513,-,-,-,-,15.2 - 16.6
701-750,701-750,Chungnam National University,South Korea,L,FC,VH,4,A,-,-,-,-,37.4,418,-,-,-,-,-,-,15.2 - 16.6
701-750,701-750,Clemson University,United States,L,CO,VH,5,A,-,-,24,391,-,-,26.3,468,-,-,-,-,15.2 - 16.6
701-750,701-750,Dankook University,South Korea,L,FC,HI,4,B,-,-,-,-,65.4,216,-,-,-,-,-,-,15.2 - 16.6
701-750,701-750,Georgia State University,United States,L,CO,VH,5,A,-,-,-,-,-,-,27.1,455,-,-,-,-,15.2 - 16.6
701-750,701-750,Hunan University,China,XL,CO,VH,4,A,-,-,-,-,-,-,51.5,212,-,-,-,-,15.2 - 16.6
701-750,751-800,Kansas State University,United States,L,CO,VH,5,A,-,-,-,-,-,-,20.9,542,31.7,447,-,-,15.2 - 16.6
701-750,701-750,Lahore University of Management Sciences (LUMS),Pakistan,S,CO,HI,3,B,-,-,36.3,264,-,-,-,-,-,-,-,-,15.2 - 16.6
701-750,751-800,London South Bank University,United Kingdom,M,,,3,,-,-,-,-,-,-,-,-,60.2,293,92.7,98,15.2 - 16.6
701-750,751-800,Manipal Academy of Higher Education,India,L,FC,HI,4,B,-,-,-,-,53.3,279,-,-,-,-,-,-,15.2 - 16.6
701-750,701-750,Maynooth University,Ireland,M,FO,VH,2,A,-,-,-,-,-,-,18.4,581,79.7,216,19,540,15.2 - 16.6
701-750,651-700,Memorial University of Newfoundland,Canada,L,FC,HI,4,A,-,-,-,-,-,-,24.8,486,32.1,444,53.5,273,15.2 - 16.6
701-750,601-650,"National Technical University of Ukraine ""Kyiv Polytechnic Institute""",Ukraine,L,FO,HI,5,A,-,-,21.6,430,46.7,316,-,-,-,-,-,-,15.2 - 16.6
701-750,701-750,Northumbria University at Newcastle,United Kingdom,L,CO,HI,4,A,-,-,23,409,-,-,-,-,42.6,380,45.1,315,15.2 - 16.6
701-750,  801-1000,Nottingham Trent University,United Kingdom,L,CO,HI,3,A,-,-,25.8,368,-,-,-,-,53.5,318,39,350,15.2 - 16.6
701-750,751-800,Pontificia Universidad CatÛlica de ValparaÌso,Chile,L,FC,MD,4,B,20.5,403,28.4,331,-,-,-,-,-,-,-,-,15.2 - 16.6
701-750,751-800,Riga Technical University,Latvia,M,CO,VH,5,A,-,-,20.6,449,27.3,549,-,-,20.4,543,29.3,437,15.2 - 16.6
701-750,,Rovira i Virgili University,Spain,L,FC,HI,3,A,-,-,-,-,28.8,520,32.2,415,-,-,24.2,486,15.2 - 16.6
701-750,,Shenzhen University,China,XL,CO,VH,3,A,-,-,-,-,53.6,278,-,-,-,-,-,-,15.2 - 16.6
701-750,651-700,Southern Methodist University,United States,M,CO,VH,5,B,-,-,-,-,43,357,-,-,-,-,37.6,364,15.2 - 16.6
701-750,751-800,Sumy State University,Ukraine,M,CO,HI,3,A,-,-,-,-,52.8,284,-,-,-,-,43.8,326,15.2 - 16.6
701-750,701-750,Universidad Adolfo Ib·Òez,Chile,M,FO,HI,4,B,-,-,63.6,115,-,-,-,-,36.3,421,-,-,15.2 - 16.6
701-750,751-800,Universidad Central de Venezuela (UCV),Venezuela,XL,FC,MD,5,A,19.1,438,42.7,219,-,-,-,-,-,-,-,-,15.2 - 16.6
701-750,,Universidad de Alicante,Spain,L,,,3,,-,-,-,-,31.3,483,-,-,-,-,16.1,583,15.2 - 16.6
701-750,751-800,Universidad de Guadalajara (UDG),Mexico,XL,FC,MD,5,A,18.4,454,-,-,33.7,456,-,-,-,-,-,-,15.2 - 16.6
701-750,,Universidad ICESI,Colombia,M,FC,MD,3,B,-,-,-,-,62.2,232,-,-,-,-,-,-,15.2 - 16.6
701-750,751-800,Universidade Federal de Santa Catarina,Brazil,XL,FC,HI,4,A,17.2,479,-,-,29.6,511,-,-,-,-,-,-,15.2 - 16.6
701-750,701-750,Universit‡ degli Studi di Siena (UNISI),Italy,L,FC,HI,5,A,-,-,-,-,-,-,36.7,366,-,-,14.8,595,15.2 - 16.6
701-750,701-750,Universit‡ degli Studi di Trieste (UNITS),Italy,L,FC,HI,4,A,-,-,-,-,-,-,40.2,325,-,-,-,-,15.2 - 16.6
701-750,601-650,Universit‰t Potsdam,Germany,L,FO,VH,,,-,-,-,-,-,-,29.6,439,,-,24.6,483,15.2 - 16.6
701-750,651-700,UniversitÈ de Lille,France,XL,CO,VH,1,A,25.9,324,-,-,-,-,-,-,21.5,532,23.8,488,15.2 - 16.6
701-750,651-700,University at Albany SUNY,United States,L,CO,VH,5,A,-,-,-,-,-,-,43.3,296,-,-,-,-,15.2 - 16.6
701-750,,University Malaysia Perlis (UniMAP),Malaysia,M,SP,VH,2,A,-,-,-,-,54.9,271,-,-,-,-,-,-,15.2 - 16.6
701-750,701-750,University of Alabama,United States,XL,CO,VH,5,A,-,-,23.3,402,-,-,34.6,388,-,-,-,-,15.2 - 16.6
701-750,651-700,University of Baghdad,Iraq,XL,FC,MD,4,A,-,-,-,-,46,324,-,-,-,-,-,-,15.2 - 16.6
701-750,751-800,University of Central Florida,United States,XL,FC,HI,4,A,-,-,24.1,390,-,-,25.9,471,-,-,-,-,15.2 - 16.6
701-750,701-750,University of Greenwich,United Kingdom,L,CO,HI,3,A,-,-,-,-,-,-,-,-,86.1,188,96.7,65,15.2 - 16.6
